graph_id,design_id,source_family,source_type,action_space_contract_id,nodes,edges,total_cap_ff,max_edge_cap_ff,raw_pex_sha256
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0005_second_stage_pmos_w_p5pct,smcnr_se_2st_amp,smcnr_sizing_sweep_20260817_v1,,,9,33,764.57809,545.61,6810c416a3ea11512a688cbda3525e1584c631daaa88489f32efd5809bfe4475
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0006_second_stage_pmos_w_p10pct,smcnr_se_2st_amp,smcnr_sizing_sweep_20260817_v1,,,9,33,764.70333,545.61,2390e49918f014ed621affd702f05bb2d044e31a3b92afe2ed32fb5aacaa7635
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0007_second_stage_nmos_w_p5pct,smcnr_se_2st_amp,smcnr_sizing_sweep_20260817_v1,,,9,32,763.63822,545.02,f6ac482a17d5556bb60be18d4fd818b71dbfb8efba4a5661f3e7614416076c93
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0008_diff_m_load_m,smcnr_se_2st_amp,smcnr_sizing_sweep_combo_20260817_v1,,,9,33,763.45471,545.64,ce7df7ca9aba507f730ac9caac49777814f49dee5ff921b1848ad2f99951da02
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0009_diff_m_load_p,smcnr_se_2st_amp,smcnr_sizing_sweep_combo_20260817_v1,,,9,32,763.47053,545.64,e4f4181ff3e851eebd6663649fe5385b7534a047e6c6ab9e91e13593227a261f
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0010_diff_p_load_m,smcnr_se_2st_amp,smcnr_sizing_sweep_combo_20260817_v1,,,9,33,765.49032,545.64,07d19aa424ddcdbe6db5dea1b28ffa85f43c9ddcb5ff462a962f52e4dbc345b7
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0011_diff_p_load_p,smcnr_se_2st_amp,smcnr_sizing_sweep_combo_20260817_v1,,,9,32,765.51024,545.64,4afb851270059e8880e8ff3deab121538b81c429097a3cbf90f767c1fb5c7c07
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0012_diff_p_pmos_p5,smcnr_se_2st_amp,smcnr_sizing_sweep_combo_20260817_v1,,,9,33,765.59308,545.61,3a06f262543710c74a2e81db8678be3647b5aebaea8300a4208c7cac0f50290a
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0013_diff_m_pmos_p10,smcnr_se_2st_amp,smcnr_sizing_sweep_combo_20260817_v1,,,9,33,763.6796,545.61,05e5da26863035dbcb172287b293d6451f45e5c6ecf465efefeb679f126e58e5
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0014_load_p_nmos_p5,smcnr_se_2st_amp,smcnr_sizing_sweep_combo_20260817_v1,,,9,32,763.67029,545.02,ac97ab27b97496c953dcff7c0e82a40a5da3ffcbf09c7c66cffa4abd288f9277
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0015_pmos_p10_nmos_p5,smcnr_se_2st_amp,smcnr_sizing_sweep_combo_20260817_v1,,,9,32,763.88934,545.02,47ded16f3519d8ddd6a37f5dca44d7b68e733b04da4ceb3ca7524a73c0f52fd3
tan_clia_pin_3:cand_0001,tan_clia_pin_3,stage3_fresh,,,18,130,134.28059,39.6033,2c678e8b4235f2ac405b9f23c0bbe400f13937ef6d0f699698cea7b6c6343801
yan_az_pin_3:cand_0001,yan_az_pin_3,stage3_fresh,,,18,114,135.3599,53.2133,95c47637fcf87c48dd3d048d0554c4c17d7bb6b94cd040d99e7d6e26763c0feb
grpo_to_pcs_admission_smoke_v1/grpo_leung_dfcfc2_0000,leung_dfcfc2_pin_3,grpo_to_pcs_admission_smoke_v1,grpo_export,amp_dfcfc2_to_leung_dfcfc2_pin_3.analoggym_action_space_v1,19,134,3999.37,1699.47,8115cd3da42a76660ac578ab6d11e08ffa2d09cbd3eaba0f3027c7fc2e0865a1
grpo_to_pcs_admission_smoke_v1/grpo_leung_dfcfc2_0001,leung_dfcfc2_pin_3,grpo_to_pcs_admission_smoke_v1,grpo_export,amp_dfcfc2_to_leung_dfcfc2_pin_3.analoggym_action_space_v1,19,127,3169.88,1750.59,19a57d0079146af75d40f3eafd28f7d6c65a5e552e30e4d279e0e31b39c7b095
