sample_uid,batch_id,candidate_id,design_id,admission_status,best_closure_level,failure_stage,graph_training_admitted,raw_pex_available,physical_closure_failed_no_raw_pex,simulation_timeout_or_hang,m12_m,pex_cap_count,pex_total_cap_ff,raw_spice_sha256,source_state_path,source_state_resolved
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0005,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0005,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,149.0,,,,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0005.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0005.source_state.json
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0006,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0006,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,161.0,,,,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0006.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0006.source_state.json
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0007,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0007,leung_dfcfc2_pin_3,admitted_raw_pex_graph,L6_post_layout_pvt,,1,1,0,0,222.0,135,3228.24591,ddb8376a1002aa9971d973d34ca52eaafa6dd5e32675ac804b92cb981cd56d82,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0007.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0007.source_state.json
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0008,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0008,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,500.0,,,,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0008.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0008.source_state.json
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0009,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0009,leung_dfcfc2_pin_3,simulation_timeout_or_hang,,simulation_timeout_or_hang,0,1,0,1,478.0,126,4723.97059,fe5ca684bc92b2a4a05a8cb53be6584291983330997286312989d6b4dfa07d39,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0009.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0009.source_state.json
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0010,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0010,leung_dfcfc2_pin_3,admitted_raw_pex_graph,L6_post_layout_pvt,,1,1,0,0,100.0,111,1444.80572,26e9def99123cb26b7d2698fd38023bbf355366ea71f1cd5a14ec45cef2fc2a0,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0010.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0010.source_state.json
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0011,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0011,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,100.0,,,,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0011.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0011.source_state.json
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0012,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0012,leung_dfcfc2_pin_3,simulation_timeout_or_hang,,simulation_timeout_or_hang,0,1,0,1,191.0,115,3128.1772,656dc6273c15b6b1c7a0241cd034a6a222ad43459783ab6b1fcb2cfda4d227ec,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0012.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0012.source_state.json
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0013,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0013,leung_dfcfc2_pin_3,admitted_raw_pex_graph,L6_post_layout_pvt,,1,1,0,0,500.0,117,1887.57411,7f686a773ce8b759cc376cc4ec4d38b90c2771a334e8c22014c5c11ed2859ad0,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0013.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0013.source_state.json
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0014,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0014,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,100.0,,,,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0014.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0014.source_state.json
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0015,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0015,leung_dfcfc2_pin_3,raw_pex_available_not_l6,L2_pre_layout_pvt,post_layout_or_lvs_not_l6,0,1,0,0,446.0,88,1848.40686,9d16fa1c1c6aea46ee03b2bbefe7c8dc1488a8d666c984c4651040ef8bf58a0a,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0015.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0015.source_state.json
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0016,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0016,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,500.0,,,,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0016.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0016.source_state.json
