model,feature,importance,signed_weight
logistic_l2_balanced,mos_aspect_times_m_sum,0.23271617041541914,-0.23271617041541914
logistic_l2_balanced,sizing__mosfet_0_8_l_biascm_pmos,0.2242840557229588,0.2242840557229588
logistic_l2_balanced,action_norm_01,0.22373728809357013,0.22373728809357013
logistic_l2_balanced,action_norm_12,0.19626646409512044,-0.19626646409512044
logistic_l2_balanced,sizing__mosfet_25_1_w_gm3_nmos,0.1932632348712887,0.1932632348712887
logistic_l2_balanced,sizing__mosfet_12_1_w_gmf2_pmos,0.1923048603943556,-0.1923048603943556
logistic_l2_balanced,action_norm_21,0.18709193263033733,0.18709193263033733
logistic_l2_balanced,action_norm_15,0.18269628216492112,0.18269628216492112
logistic_l2_balanced,mos_l_all_min,0.18023018010397293,-0.18023018010397293
logistic_l2_balanced,sizing__mosfet_18_7_w_biascm_nmos,0.18013711671515623,0.18013711671515623
logistic_l2_balanced,pmos_m_mean,0.17693779254306227,-0.17693779254306227
logistic_l2_balanced,pmos_m_sum,0.17693779254306125,-0.17693779254306125
logistic_l2_balanced,requested_cap_sum,0.17279117142936273,0.17279117142936273
logistic_l2_balanced,mos_m_all_min,0.17063200471904105,0.17063200471904105
logistic_l2_balanced,sizing__mosfet_18_7_m_biascm_nmos,0.17005382065293775,-0.17005382065293775
logistic_l2_balanced,action_norm_17,0.16510943655988036,-0.16510943655988036
logistic_l2_balanced,pmos_to_nmos_m_ratio,0.163282622393689,0.163282622393689
logistic_l2_balanced,mos_m_all_max,0.16249986862761864,-0.16249986862761864
logistic_l2_balanced,pmos_m_max,0.16249986862761864,-0.16249986862761864
logistic_l2_balanced,record__m12_m,0.16249986862761864,-0.16249986862761864
logistic_l2_balanced,sizing__mosfet_12_1_m_gmf2_pmos,0.16249986862761864,-0.16249986862761864
logistic_l2_balanced,action_norm_14,0.16034919816246207,-0.16034919816246207
logistic_l2_balanced,nmos_l_min,0.1503256203684348,-0.1503256203684348
logistic_l2_balanced,action_norm_20,0.1444747547562572,-0.1444747547562572
logistic_l2_balanced,action_norm_24,0.1377321670835963,-0.1377321670835963
logistic_l2_balanced,bias_current_sum,0.13773216708359512,-0.13773216708359512
logistic_l2_balanced,sizing__current_0_bias,0.13773216708359512,-0.13773216708359512
logistic_l2_balanced,sizing__mosfet_23_2_m_load2_nmos,0.1350847612114389,-0.1350847612114389
logistic_l2_balanced,selection_bucket__boundary_m12_388_397,0.134957423347654,0.134957423347654
logistic_l2_balanced,nmos_w_min,0.1335788937680526,0.1335788937680526
logistic_l2_balanced,mos_gate_area_proxy_sum,0.13267468507110014,-0.13267468507110014
logistic_l2_balanced,action_norm_26,0.1280191545710116,-0.1280191545710116
logistic_l2_balanced,mos_m_all_mean,0.12725156382554526,-0.12725156382554526
logistic_l2_balanced,mos_m_all_sum,0.12725156382554526,-0.12725156382554526
logistic_l2_balanced,sizing__capacitor_1,0.12269617367618003,-0.12269617367618003
logistic_l2_balanced,nmos_m_min,0.11646620830465708,-0.11646620830465708
logistic_l2_balanced,pmos_l_mean,0.1113428459136456,0.1113428459136456
logistic_l2_balanced,pmos_l_sum,0.11134284591364443,0.11134284591364443
logistic_l2_balanced,selection_bucket__l6_neighborhood_m12_330_390,0.10011933453961266,-0.10011933453961266
logistic_l2_balanced,sizing__mosfet_8_2_l_gm1_pmos,0.09893591358199134,-0.09893591358199134
logistic_l2_balanced,sizing__mosfet_18_7_l_biascm_nmos,0.09869153995998528,0.09869153995998528
logistic_l2_balanced,action_norm_04,0.09793717798804889,-0.09793717798804889
logistic_l2_balanced,action_norm_05,0.09333016473733276,-0.09333016473733276
logistic_l2_balanced,action_norm_16,0.09113664072731459,0.09113664072731459
logistic_l2_balanced,sizing__mosfet_8_2_m_gm1_pmos,0.09019160580065987,-0.09019160580065987
logistic_l2_balanced,action_norm_19,0.08876546211413416,-0.08876546211413416
logistic_l2_balanced,sizing__mosfet_23_2_l_load2_nmos,0.08773709531555353,-0.08773709531555353
logistic_l2_balanced,pmos_l_max,0.06911085488404302,0.06911085488404302
logistic_l2_balanced,mos_l_all_mean,0.06887185873874621,0.06887185873874621
logistic_l2_balanced,mos_l_all_sum,0.06887185873874621,0.06887185873874621
logistic_l2_balanced,selection_bucket__diagnostic_neighborhood_m12_335_365,0.061923158950316526,-0.061923158950316526
logistic_l2_balanced,sizing__mosfet_10_1_l_gm4_pmos,0.05176002917299966,0.05176002917299966
logistic_l2_balanced,action_norm_22,0.05121483414142397,-0.05121483414142397
logistic_l2_balanced,nmos_l_sum,0.050221478985652455,-0.050221478985652455
logistic_l2_balanced,nmos_l_mean,0.05022147898565223,-0.05022147898565223
logistic_l2_balanced,sizing__mosfet_25_1_l_gm3_nmos,0.04789747973140844,-0.04789747973140844
logistic_l2_balanced,nmos_m_sum,0.04717792195391913,0.04717792195391913
logistic_l2_balanced,nmos_m_mean,0.04717792195391904,0.04717792195391904
logistic_l2_balanced,action_norm_07,0.04301931573008605,0.04301931573008605
logistic_l2_balanced,action_norm_10,0.041694402271104596,0.041694402271104596
logistic_l2_balanced,sizing__mosfet_11_1_l_gm2_pmos,0.04080340385735978,0.04080340385735978
logistic_l2_balanced,sizing__mosfet_10_1_w_gm4_pmos,0.037643492574297756,0.037643492574297756
logistic_l2_balanced,action_norm_06,0.0339621008787824,0.0339621008787824
logistic_l2_balanced,pmos_l_min,0.027484648567618435,0.027484648567618435
logistic_l2_balanced,nmos_w_max,0.026753820954162483,0.026753820954162483
logistic_l2_balanced,nmos_m_max,0.02625132531084173,0.02625132531084173
logistic_l2_balanced,nmos_w_sum,0.02604281184792783,0.02604281184792783
