feature,mean_admitted,mean_not_admitted,delta_admitted_minus_not,abs_standardized_effect
sizing__mosfet_18_7_m_biascm_nmos,7.285714285714286,11.705882352941176,-4.42016806722689,0.38534506479871433
action_norm_17,-0.742475858756474,-0.5651895263615776,-0.17728633239489644,0.38073643681023994
nmos_m_max,40.42857142857143,44.470588235294116,-4.042016806722685,0.3764457740828982
mos_m_all_mean,66.91071428571429,68.8970588235294,-1.986344537815114,0.3408774115997753
mos_m_all_sum,535.2857142857143,551.1764705882352,-15.890756302520913,0.3408774115997753
mos_m_all_min,4.142857142857143,2.8823529411764706,1.2605042016806727,0.33367189714707157
pmos_l_sum,13.214285714285714,12.270588235294117,0.9436974789915968,0.29816282574124087
pmos_l_mean,2.642857142857143,2.4541176470588235,0.18873949579831928,0.29816282574124076
action_norm_08,-0.06495947710105351,-0.2295082811923588,0.1645488040913053,0.2897372231242295
pmos_m_sum,467.57142857142856,478.94117647058823,-11.369747899159677,0.281057321884404
pmos_m_mean,93.51428571428572,95.78823529411765,-2.2739495798319354,0.28105732188440397
sizing__mosfet_10_1_m_gm4_pmos,23.714285714285715,19.88235294117647,3.8319327731092443,0.27618654318599994
pmos_w_mean,4.328571428571428,4.667058823529412,-0.3384873949579834,0.2699134604326227
pmos_w_sum,21.642857142857142,23.33529411764706,-1.692436974789917,0.2699134604326227
selection_bucket__boundary_m12_388_397,0.2857142857142857,0.17647058823529413,0.10924369747899157,0.2689960049164437
mos_w_all_mean,4.525,4.8,-0.27499999999999947,0.24724705126908408
mos_w_all_sum,36.2,38.4,-2.1999999999999957,0.24724705126908408
sizing__mosfet_23_2_l_load2_nmos,3.042857142857143,3.4411764705882355,-0.39831932773109235,0.2469776907411314
action_norm_19,0.12959476453917368,0.30521681904792786,-0.17562205450875418,0.2448258677454845
sizing__mosfet_18_7_l_biascm_nmos,1.9857142857142858,1.758823529411765,0.22689075630252087,0.21125167430530137
selection_bucket__none,0.42857142857142855,0.5294117647058824,-0.10084033613445381,0.20168067226890762
sizing__mosfet_8_2_l_gm1_pmos,2.542857142857143,2.847058823529412,-0.3042016806722687,0.19907862151580458
nmos_l_sum,6.7,7.1000000000000005,-0.40000000000000036,0.19793519920058145
nmos_l_mean,2.2333333333333334,2.3666666666666667,-0.1333333333333333,0.19793519920058125
action_norm_16,-0.3445150021995817,-0.43782269779373617,0.09330769559415447,0.19643114323596308
bias_current_sum,12.619549128626144,14.633746386451,-2.014197257824856,0.19624566502250126
sizing__current_0_bias,12.619549128626144,14.633746386451,-2.014197257824856,0.19624566502250126
action_norm_24,-0.19865178423268454,-0.05974162852062898,-0.13891015571205556,0.19624566502249685
action_norm_04,-0.09457321784326009,0.037144652184318096,-0.13171787002757818,0.19469094982063193
pmos_l_min,0.6285714285714287,0.7294117647058824,-0.10084033613445376,0.18087164638667422
nmos_m_sum,67.71428571428571,72.23529411764706,-4.52100840336135,0.1740253324649348
nmos_m_mean,22.571428571428573,24.07843137254902,-1.5070028011204464,0.17402533246493437
action_norm_22,-0.47995142000062124,-0.3767096417791703,-0.10324177822145092,0.168961198513531
sizing__mosfet_25_1_l_gm3_nmos,1.6714285714285715,1.9,-0.22857142857142843,0.16590805908816667
pmos_l_max,4.6000000000000005,4.488235294117647,0.11176470588235343,0.16062569616482217
mos_l_all_mean,2.4892857142857143,2.4213235294117648,0.06796218487394956,0.14923628157096086
mos_l_all_sum,19.914285714285715,19.370588235294118,0.5436974789915965,0.14923628157096086
nmos_m_min,7.285714285714286,8.352941176470589,-1.0672268907563032,0.12368162065062914
sizing__mosfet_10_1_l_gm4_pmos,2.257142857142857,2.1176470588235294,0.13949579831932768,0.1102261080301261
action_norm_00,0.06928193675620216,0.01227126402013442,0.05701067273606774,0.10753808762774264
sizing__mosfet_0_8_w_biascm_pmos,5.571428571428571,5.305882352941176,0.2655462184873949,0.10532583027295186
action_norm_13,-0.10514555871486664,-0.1861883116995587,0.08104275298469207,0.10142373531362785
action_norm_07,-0.2204009975705828,-0.27704954497954426,0.05664854740896147,0.10032782916067111
nmos_w_mean,4.852380952380953,5.021568627450981,-0.1691876750700283,0.09846058682327967
nmos_w_sum,14.557142857142859,15.064705882352943,-0.507563025210084,0.0984605868232795
